hash_name,cost_price,profit_rub,profit_percent
AWP | Neo-Noir (Minimal Wear),2215,240,11.0
StatTrak™ AWP | Atheris (Minimal Wear),1313,239,18.0
StatTrak™ M4A1-S | Basilisk (Minimal Wear),1897,234,12.0
UMP-45 | Wild Child (Factory New),1475,234,16.0
M4A1-S | Golden Coil (Battle-Scarred),2642,226,9.0
AK-47 | Ice Coaled (Factory New),1877,226,12.0
CZ75-Auto | Emerald (Factory New),2114,224,11.0
M4A1-S | Player Two (Field-Tested),1768,217,12.0
M4A4 | Bullet Rain (Minimal Wear),1344,216,16.0
Desert Eagle | Midnight Storm (Minimal Wear),1599,209,13.0
M4A1-S | Bright Water (Minimal Wear),2290,209,9.0
★ Falchion Knife,18794,206,1.0
USP-S | Road Rash (Field-Tested),2439,201,8.0
StatTrak™ SCAR-20 | Enforcer (Factory New),393,190,48.0
USP-S | Stainless (Factory New),1978,188,10.0
USP-S | The Traitor (Minimal Wear),1653,188,11.0
Lieutenant 'Tree Hugger' Farlow | SWAT,630,184,28.999999999999996
StatTrak™ XM1014 | Entombed (Factory New),1564,184,12.0
USP-S | Blueprint (Minimal Wear),879,184,21.0
StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear),1606,178,11.0
Sticker | The Pro (Foil),444,178,40.0
SSG 08 | Dragonfire (Minimal Wear),1043,175,17.0
StatTrak™ FAMAS | Rapid Eye Movement (Minimal Wear),569,173,30.0
MAC-10 | Fade (Factory New),2927,173,6.0
StatTrak™ AK-47 | Frontside Misty (Well-Worn),2534,173,7.000000000000001
StatTrak™ AWP | Phobos (Factory New),535,169,32.0
Desert Eagle | Printstream (Field-Tested),3347,168,5.0
USP-S | The Traitor (Field-Tested),966,162,17.0
USP-S | Monster Mashup (Minimal Wear),2215,161,7.000000000000001
Souvenir USP-S | Road Rash (Field-Tested),1307,160,12.0
SSG 08 | Dragonfire (Well-Worn),1039,160,15.0
Souvenir Galil AR | Amber Fade (Factory New),729,160,22.0
Paris 2023 Viewer Pass + 3 Souvenir Tokens,1003,157,16.0
StatTrak™ USP-S | Cyrex (Minimal Wear),603,147,24.0
StatTrak™ MP9 | Hydra (Field-Tested),773,145,19.0
FAMAS | Commemoration (Field-Tested),965,144,15.0
StatTrak™ AK-47 | Ice Coaled (Minimal Wear),2614,139,5.0
FAMAS | Djinn (Minimal Wear),393,138,35.0
AK-47 | Legion of Anubis (Minimal Wear),1012,134,13.0
MAG-7 | Bulldozer (Minimal Wear),1260,131,10.0
Souvenir USP-S | Orange Anolis (Factory New),1721,128,7.000000000000001
USP-S | The Traitor (Battle-Scarred),797,128,16.0
AK-47 | Black Laminate (Field-Tested),2358,128,5.0
M4A4 | Temukau (Field-Tested),2195,124,6.0
MAC-10 | Amber Fade (Minimal Wear),934,124,13.0
Negev | Power Loader (Factory New),402,124,31.0
P2000 | Amber Fade (Well-Worn),455,124,27.0
P2000 | Obsidian (Factory New),1012,121,12.0
StatTrak™ AK-47 | Slate (Minimal Wear),1096,120,11.0
AK-47 | Orbit Mk01 (Factory New),1748,117,7.000000000000001
StatTrak™ USP-S | Stainless (Field-Tested),1083,117,11.0
Sir Bloody Silent Darryl | The Professionals,1298,116,9.0
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear),958,115,12.0
AK-47 | Neon Revolution (Field-Tested),1238,115,9.0
PP-Bizon | Brass (Factory New),379,114,30.0
AWP | Fever Dream (Factory New),1069,113,11.0
AK-47 | Asiimov (Field-Tested),2270,113,5.0
UMP-45 | Delusion (Factory New),158,113,72.0
StatTrak™ Glock-18 | Water Elemental (Field-Tested),1220,112,9.0
UMP-45 | Scaffold (Factory New),262,110,42.0
M4A4 | Neo-Noir (Well-Worn),405,105,26.0
Souvenir AUG | Sand Storm (Field-Tested),285,105,37.0
USP-S | The Traitor (Well-Worn),821,105,13.0
Desert Eagle | Crimson Web (Well-Worn),531,105,20.0
P90 | Desert Warfare (Field-Tested),239,104,44.0
StatTrak™ Desert Eagle | Blue Ply (Factory New),566,103,18.0
"StatTrak™ Music Kit | Various Artists, Hotline Miami",512,103,20.0
M4A4 | The Battlestar (Field-Tested),459,102,22.0
StatTrak™ Dual Berettas | Dezastre (Well-Worn),260,100,38.0
AK-47 | Redline (Field-Tested),1389,100,7.000000000000001
M4A1-S | Nightmare (Field-Tested),802,100,12.0
Special Agent Ava | FBI,988,100,10.0
AK-47 | Ice Coaled (Minimal Wear),1026,99,10.0
XM1014 | Black Tie (Factory New),183,97,53.0
Desert Eagle | Conspiracy (Factory New),690,94,14.000000000000002
Tec-9 | Decimator (Field-Tested),782,93,12.0
P250 | See Ya Later (Factory New),825,91,11.0
XM1014 | Watchdog (Factory New),278,91,33.0
SG 553 | Ultraviolet (Field-Tested),1515,88,6.0
MAG-7 | Silver (Factory New),1148,88,8.0
Sticker | Merietta (Holo),87,88,101.0
Souvenir Glock-18 | Pink DDPAT (Field-Tested),253,86,34.0
Sticker | BukAWP,54,86,159.0
Chef d'Escadron Rouchard | Gendarmerie Nationale,962,85,9.0
StatTrak™ AK-47 | Slate (Field-Tested),621,84,14.000000000000002
MP7 | Powercore (Factory New),247,84,34.0
Desert Eagle | Night Heist (Factory New),962,83,9.0
Souvenir Tec-9 | Mummy's Rot (Minimal Wear),160,83,52.0
StatTrak™ G3SG1 | Murky (Factory New),172,83,48.0
StatTrak™ Nova | Clear Polymer (Factory New),1016,81,8.0
Sticker | No Pats (Holo),191,80,42.0
"Music Kit | Knock2, dashstar*",1003,80,8.0
M4A4 | Griffin (Minimal Wear),257,79,31.0
MAG-7 | Core Breach (Factory New),725,78,11.0
PP-Bizon | Judgement of Anubis (Factory New),839,77,9.0
SG 553 | Desert Blossom (Minimal Wear),1059,76,7.000000000000001
AK-47 | Ice Coaled (Battle-Scarred),488,75,15.0
AWP | Mortis (Factory New),583,74,13.0
Nova | Clear Polymer (Minimal Wear),295,74,25.0
AUG | Chameleon (Factory New),482,72,15.0
Desert Eagle | Mecha Industries (Minimal Wear),447,72,16.0
StatTrak™ MP9 | Ruby Poison Dart (Field-Tested),164,70,43.0
M4A4 | Evil Daimyo (Field-Tested),175,70,40.0
M4A4 | Cyber Security (Minimal Wear),2263,68,3.0
StatTrak™ P250 | X-Ray (Field-Tested),124,68,55.00000000000001
Souvenir Glock-18 | High Beam (Factory New),255,68,27.0
USP-S | Forest Leaves (Factory New),103,66,64.0
G3SG1 | The Executioner (Well-Worn),125,66,53.0
USP-S | Royal Blue (Field-Tested),883,65,7.000000000000001
AK-47 | Blue Laminate (Field-Tested),852,65,8.0
StatTrak™ Dual Berettas | Royal Consorts (Minimal Wear),241,64,27.0
Rezan the Redshirt | Sabre,267,63,24.0
UMP-45 | Momentum (Battle-Scarred),256,63,25.0
P90 | Grim (Factory New),68,63,93.0
StatTrak™ AWP | Worm God (Field-Tested),312,62,20.0
P2000 | Imperial Dragon (Field-Tested),261,62,24.0
Souvenir Glock-18 | Pink DDPAT (Battle-Scarred),271,62,23.0
MP7 | Abyssal Apparition (Factory New),808,61,8.0
StatTrak™ USP-S | Torque (Factory New),385,61,16.0
Sticker | Tamara,35,60,171.0
P250 | See Ya Later (Battle-Scarred),223,60,27.0
Five-SeveN | Nightshade (Field-Tested),108,59,55.00000000000001
P250 | Visions (Well-Worn),246,58,24.0
'Medium Rare' Crasswater | Guerrilla Warfare,1122,57,5.0
Seal Team 6 Soldier | NSWC SEAL,481,57,12.0
AK-47 | Legion of Anubis (Field-Tested),702,56,8.0
StatTrak™ SSG 08 | Ghost Crusader (Well-Worn),155,56,36.0
Dual Berettas | Melondrama (Minimal Wear),298,54,18.0
StatTrak™ MP9 | Airlock (Minimal Wear),622,52,8.0
StatTrak™ UMP-45 | Moonrise (Factory New),244,51,21.0
UMP-45 | Momentum (Field-Tested),262,51,19.0
Tec-9 | Brass (Field-Tested),392,50,13.0
StatTrak™ Desert Eagle | Trigger Discipline (Factory New),875,50,6.0
Glock-18 | Royal Legion (Minimal Wear),236,49,21.0
MP5-SD | Agent (Factory New),264,49,19.0
StatTrak™ P90 | Neoqueen (Field-Tested),122,49,40.0
Tec-9 | Fuel Injector (Field-Tested),202,49,24.0
StatTrak™ PP-Bizon | Lumen (Factory New),278,49,18.0
Souvenir UMP-45 | Mechanism (Well-Worn),21,48,229.0
P250 | Muertos (Minimal Wear),466,48,10.0
Sticker | NAF (Gold) | Paris 2023,222,48,22.0
Galil AR | Sandstorm (Minimal Wear),230,47,20.0
StatTrak™ G3SG1 | Digital Mesh (Minimal Wear),94,47,50.0
MP9 | Starlight Protector (Field-Tested),290,46,16.0
Dual Berettas | Anodized Navy (Factory New),165,46,28.000000000000004
StatTrak™ MP9 | Dart (Factory New),175,46,26.0
Sticker | jkaem (Gold) | Paris 2023,126,45,36.0
M4A1-S | Nitro (Minimal Wear),257,45,18.0
StatTrak™ PP-Bizon | Lumen (Well-Worn),73,44,60.0
M4A1-S | Boreal Forest (Factory New),275,44,16.0
StatTrak™ AK-47 | Elite Build (Field-Tested),332,44,13.0
Nova | Clear Polymer (Well-Worn),171,44,26.0
AK-47 | Baroque Purple (Minimal Wear),453,42,9.0
Glock-18 | Water Elemental (Battle-Scarred),339,42,12.0
StatTrak™ UMP-45 | Scaffold (Well-Worn),217,42,19.0
StatTrak™ MAG-7 | BI83 Spectrum (Field-Tested),119,42,35.0
"Music Kit | Laura Shigihara: Work Hard, Play Hard",255,42,16.0
AK-47 | Steel Delta (Factory New),354,41,12.0
Glock-18 | Vogue (Factory New),779,40,5.0
P250 | Visions (Minimal Wear),495,40,8.0
MP5-SD | Acid Wash (Factory New),127,40,31.0
Sawed-Off | Serenity (Minimal Wear),160,39,24.0
PP-Bizon | Fuel Rod (Factory New),243,39,16.0
3rd Commando Company | KSK,565,39,7.000000000000001
AK-47 | Phantom Disruptor (Minimal Wear),534,39,7.000000000000001
UMP-45 | Delusion (Field-Tested),37,38,103.0
StatTrak™ M249 | Aztec (Field-Tested),95,37,39.0
Anubis Collection Package,125,37,30.0
MP9 | Airlock (Battle-Scarred),122,36,30.0
AK-47 | Nightwish (Field-Tested),1218,36,3.0
Sticker | Martha (Holo),44,36,82.0
AK-47 | Cartel (Minimal Wear),909,36,4.0
M4A1-S | Leaded Glass (Field-Tested),386,36,9.0
SSG 08 | Carbon Fiber (Factory New),190,36,19.0
Glock-18 | Nuclear Garden (Field-Tested),308,35,11.0
StatTrak™ R8 Revolver | Junk Yard (Factory New),148,35,24.0
AUG | Aristocrat (Minimal Wear),79,34,43.0
StatTrak™ Negev | Drop Me (Factory New),82,34,41.0
StatTrak™ USP-S | Ticket to Hell (Battle-Scarred),121,33,27.0
AWP | Mortis (Field-Tested),148,32,22.0
M4A1-S | Player Two (Battle-Scarred),1215,32,3.0
M4A1-S | Blood Tiger (Minimal Wear),393,31,8.0
StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear),321,31,10.0
Glock-18 | Water Elemental (Field-Tested),366,31,8.0
Glock-18 | Red Tire (Factory New),223,31,14.000000000000002
PP-Bizon | Breaker Box (Factory New),191,30,16.0
FAMAS | Roll Cage (Field-Tested),237,30,13.0
Souvenir Nova | Walnut (Battle-Scarred),78,30,38.0
FAMAS | Roll Cage (Well-Worn),209,29,14.000000000000002
AWP | Black Nile (Field-Tested),152,29,19.0
AWP | PAW (Minimal Wear),215,28,13.0
Rio 2022 Contenders Autograph Capsule,26,28,108.0
Sticker | Lucaozy (Gold) | Paris 2023,259,28,11.0
Dual Berettas | Melondrama (Field-Tested),134,28,21.0
StatTrak™ MP9 | Sand Scale (Field-Tested),31,28,90.0
USP-S | Guardian (Field-Tested),162,28,17.0
StatTrak™ AUG | Stymphalian (Factory New),1355,27,2.0
P90 | Elite Build (Factory New),117,27,23.0
StatTrak™ SG 553 | Cyberforce (Factory New),208,27,13.0
M4A1-S | Night Terror (Minimal Wear),92,27,28.999999999999996
MP9 | Airlock (Well-Worn),131,27,21.0
Name Tag,128,26,20.0
M4A1-S | Flashback (Battle-Scarred),53,26,49.0
FAMAS | Valence (Field-Tested),158,26,16.0
"Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)",299,25,8.0
'Two Times' McCoy | TACP Cavalry,278,25,9.0
MAG-7 | Praetorian (Factory New),335,24,7.000000000000001
UMP-45 | Full Stop (Battle-Scarred),77,24,31.0
"Music Kit | Midnight Riders, All I Want for Christmas",327,23,7.000000000000001
XM1014 | Teclu Burner (Minimal Wear),108,23,21.0
Tec-9 | Avalanche (Minimal Wear),134,23,17.0
MP9 | Food Chain (Field-Tested),127,23,18.0
AUG | Ricochet (Factory New),70,23,33.0
R8 Revolver | Phoenix Marker (Field-Tested),121,22,18.0
MAC-10 | Heat (Well-Worn),134,22,16.0
AWP | Black Nile (Battle-Scarred),207,22,11.0
PP-Bizon | Bamboo Print (Minimal Wear),207,22,11.0
Souvenir SSG 08 | Carbon Fiber (Minimal Wear),120,22,18.0
FAMAS | Roll Cage (Battle-Scarred),219,21,10.0
MAC-10 | Heat (Field-Tested),157,21,13.0
Tec-9 | Safety Net (Well-Worn),98,21,21.0
Glock-18 | Moonrise (Minimal Wear),62,20,32.0
AWP | PAW (Factory New),354,20,6.0
StatTrak™ M249 | Downtown (Factory New),393,20,5.0
"Music Kit | Various Artists, Hotline Miami",267,20,7.000000000000001
Tec-9 | Bamboo Forest (Minimal Wear),262,20,8.0
Tec-9 | Remote Control (Field-Tested),215,20,9.0
FAMAS | Neural Net (Minimal Wear),93,20,22.0
Glock-18 | Weasel (Factory New),168,19,11.0
Sticker | Peek Me (Foil),45,19,42.0
StatTrak™ M4A1-S | Night Terror (Field-Tested),283,19,7.000000000000001
StatTrak™ R8 Revolver | Crazy 8 (Field-Tested),101,19,19.0
Sticker | sjuush (Holo) | Paris 2023,54,19,35.0
USP-S | Flashback (Battle-Scarred),61,19,31.0
M4A1-S | Emphorosaur-S (Field-Tested),77,19,25.0
"Music Kit | The Verkkars & n0thing, Flashbang Dance",295,19,6.0
AUG | Torque (Factory New),847,19,2.0
StatTrak™ CZ75-Auto | Twist (Well-Worn),138,18,13.0
StatTrak™ P250 | X-Ray (Minimal Wear),141,18,13.0
StatTrak™ P2000 | Acid Etched (Minimal Wear),244,18,7.000000000000001
Dragomir | Sabre,201,18,9.0
P90 | Virus (Minimal Wear),160,18,11.0
StatTrak™ Sawed-Off | Black Sand (Factory New),78,18,23.0
MAC-10 | Last Dive (Factory New),236,18,8.0
USP-S | Cortex (Well-Worn),148,18,12.0
P250 | Visions (Battle-Scarred),213,17,8.0
Glock-18 | Umbral Rabbit (Factory New),188,17,9.0
Sticker | ENCE (Holo) | Berlin 2019,33,17,52.0
StatTrak™ Dual Berettas | Flora Carnivora (Minimal Wear),217,17,8.0
StatTrak™ USP-S | Flashback (Field-Tested),141,17,12.0
M4A1-S | Night Terror (Factory New),168,16,10.0
Sticker | allu | Krakow 2017,130,16,12.0
CZ75-Auto | Eco (Well-Worn),45,16,36.0
Sticker | Sherry,25,16,64.0
StatTrak™ Glock-18 | Umbral Rabbit (Field-Tested),121,16,13.0
USP-S | Torque (Field-Tested),63,16,25.0
StatTrak™ CZ75-Auto | Pole Position (Minimal Wear),133,16,12.0
P250 | Wingshot (Well-Worn),108,16,15.0
FAMAS | Valence (Minimal Wear),257,15,6.0
M4A1-S | Night Terror (Well-Worn),136,15,11.0
AK-47 | Slate (Minimal Wear),301,15,5.0
MAC-10 | Palm (Factory New),39,15,38.0
MAG-7 | Justice (Factory New),946,14,1.0
M249 | Nebula Crusader (Battle-Scarred),76,14,18.0
M249 | Emerald Poison Dart (Minimal Wear),129,14,11.0
AWP | Worm God (Field-Tested),119,14,12.0
SSG 08 | Red Stone (Minimal Wear),331,14,4.0
StatTrak™ Desert Eagle | Trigger Discipline (Field-Tested),130,14,11.0
Glock-18 | Vogue (Field-Tested),262,13,5.0
AK-47 | Slate (Battle-Scarred),163,13,8.0
Dual Berettas | Royal Consorts (Well-Worn),25,13,52.0
StatTrak™ XM1014 | Zombie Offensive (Factory New),247,13,5.0
StatTrak™ MAG-7 | Justice (Well-Worn),271,13,5.0
"Music Kit | Neck Deep, The Lowlife Pack",264,13,5.0
Sticker | Incineration,17,13,76.0
Souvenir UMP-45 | Mechanism (Minimal Wear),20,13,65.0
FAMAS | Meow 36 (Factory New),34,12,35.0
StatTrak™ UMP-45 | Delusion (Field-Tested),99,12,12.0
Patch | Metal Gold Nova Master,62,11,18.0
FAMAS | ZX Spectron (Field-Tested),116,11,9.0
StatTrak™ AK-47 | Uncharted (Battle-Scarred),153,11,7.000000000000001
P90 | Neoqueen (Minimal Wear),92,11,12.0
Sticker | First Blood,81,11,14.000000000000002
Glock-18 | Umbral Rabbit (Minimal Wear),106,11,10.0
StatTrak™ G3SG1 | Orange Crash (Minimal Wear),34,11,32.0
StatTrak™ SG 553 | Cyberforce (Well-Worn),15,11,73.0
Souvenir MP9 | Music Box (Factory New),93,11,12.0
MAG-7 | BI83 Spectrum (Minimal Wear),97,11,11.0
Nova | Toy Soldier (Well-Worn),44,11,25.0
SG 553 | Lush Ruins (Minimal Wear),41,10,24.0
MAC-10 | Rangeen (Battle-Scarred),15,10,67.0
Dual Berettas | Royal Consorts (Minimal Wear),89,10,11.0
P90 | Neoqueen (Battle-Scarred),126,10,8.0
AUG | Aristocrat (Field-Tested),41,10,24.0
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested),249,10,4.0
AUG | Amber Fade (Factory New),149,10,7.000000000000001
SG 553 | Darkwing (Battle-Scarred),31,10,32.0
Souvenir AUG | Snake Pit (Factory New),38,10,26.0
StatTrak™ MAC-10 | Carnivore (Battle-Scarred),16,9,56.00000000000001
XM1014 | Watchdog (Field-Tested),55,9,16.0
Glock-18 | Winterized (Factory New),27,9,33.0
CZ75-Auto | Polymer (Factory New),28,9,32.0
SCAR-20 | Enforcer (Well-Worn),27,9,33.0
Nova | Wild Six (Minimal Wear),46,9,20.0
FAMAS | Neural Net (Battle-Scarred),75,9,12.0
USP-S | Flashback (Minimal Wear),62,9,15.0
StatTrak™ Nova | Windblown (Well-Worn),21,8,38.0
StatTrak™ Glock-18 | Clear Polymer (Battle-Scarred),19,8,42.0
Nova | Toy Soldier (Field-Tested),53,8,15.0
P90 | Grim (Minimal Wear),22,8,36.0
Five-SeveN | Monkey Business (Field-Tested),182,8,4.0
AWP | PAW (Field-Tested),136,8,6.0
SG 553 | Dragon Tech (Minimal Wear),91,8,9.0
Tec-9 | Cracked Opal (Factory New),31,8,26.0
Sticker | OG (Holo) | Paris 2023,131,8,6.0
MAC-10 | Oceanic (Factory New),17,8,47.0
Five-SeveN | Retrobution (Minimal Wear),104,8,8.0
Michael Syfers  | FBI Sniper,306,8,3.0
MP9 | Goo (Field-Tested),33,8,24.0
StatTrak™ MAC-10 | Carnivore (Well-Worn),16,7,44.0
PP-Bizon | Space Cat (Minimal Wear),54,7,13.0
MAC-10 | Disco Tech (Well-Worn),146,7,5.0
Sticker | FaZe Clan (Holo) | Antwerp 2022,410,7,2.0
Patch | Metal Master Guardian I,60,7,12.0
UMP-45 | Oscillator (Factory New),27,7,26.0
AWP | POP AWP (Factory New),516,7,1.0
StatTrak™ R8 Revolver | Junk Yard (Battle-Scarred),19,7,37.0
StatTrak™ G3SG1 | Digital Mesh (Field-Tested),38,6,16.0
StatTrak™ P90 | Grim (Field-Tested),24,6,25.0
Souvenir G3SG1 | New Roots (Minimal Wear),17,6,35.0
P90 | Chopper (Minimal Wear),73,6,8.0
SSG 08 | Necropos (Factory New),104,6,6.0
StatTrak™ SG 553 | Heavy Metal (Field-Tested),21,6,28.999999999999996
PP-Bizon | Cobalt Halftone (Field-Tested),72,6,8.0
Dual Berettas | Twin Turbo (Well-Worn),218,6,3.0
StatTrak™ MAC-10 | Monkeyflage (Minimal Wear),26,6,23.0
CZ75-Auto | Distressed (Factory New),23,6,26.0
Paris 2023 Challengers Autograph Capsule,20,5,25.0
AWP | Pit Viper (Field-Tested),34,5,15.0
M4A4 | In Living Color (Field-Tested),527,5,1.0
StatTrak™ Tec-9 | Avalanche (Field-Tested),191,5,3.0
Five-SeveN | Boost Protocol (Minimal Wear),143,5,3.0
MP9 | Deadly Poison (Field-Tested),16,5,31.0
AWP | Phobos (Minimal Wear),101,5,5.0
StatTrak™ Desert Eagle | Directive (Field-Tested),135,5,4.0
StatTrak™ Five-SeveN | Kami (Minimal Wear),134,5,4.0
AWP | Acheron (Field-Tested),65,5,8.0
SG 553 | Aerial (Factory New),24,4,17.0
Galil AR | Signal (Field-Tested),39,4,10.0
Sticker | GamerLegion (Gold) | Paris 2023,363,4,1.0
"Music Kit | The Verkkars, EZ4ENCE",298,4,1.0
USP-S | Black Lotus (Field-Tested),76,4,5.0
Sticker | One Sting,17,4,24.0
Sticker | Liazz (Holo) | Paris 2023,50,4,8.0
StatTrak™ SCAR-20 | Blueprint (Minimal Wear),49,4,8.0
P250 | Contamination (Minimal Wear),134,4,3.0
Souvenir Five-SeveN | Contractor (Field-Tested),25,4,16.0
Desert Eagle | Light Rail (Field-Tested),58,3,5.0
CZ75-Auto | Eco (Field-Tested),54,3,6.0
Glock-18 | Clear Polymer (Minimal Wear),15,3,20.0
Sticker | FASHR (Holo) | Paris 2023,63,3,5.0
StatTrak™ MP9 | Goo (Factory New),271,3,1.0
StatTrak™ SG 553 | Ol' Rusty (Factory New),55,3,5.0
Souvenir MAC-10 | Strats (Factory New),19,3,16.0
