hash_name,cost_price,profit_rub,profit_percent
StatTrak™ AK-47 | Bloodsport (Minimal Wear),18672,1957,10.0
★ Navaja Knife | Marble Fade (Factory New),17811,1878,11.0
★ Falchion Knife | Doppler (Factory New),39256,1828,5.0
M4A1-S | Printstream (Field-Tested),13679,1812,13.0
StatTrak™ AK-47 | Nightwish (Factory New),21395,1799,8.0
AK-47 | Bloodsport (Minimal Wear),7967,1793,23.0
★ Ursus Knife | Ultraviolet (Well-Worn),14756,1708,12.0
StatTrak™ M4A4 | Asiimov (Field-Tested),38907,1705,4.0
StatTrak™ M4A4 | The Emperor (Minimal Wear),8523,1652,19.0
★ StatTrak™ Ursus Knife | Safari Mesh (Field-Tested),10162,1551,15.0
★ Bayonet | Stained (Minimal Wear),29756,1490,5.0
AK-47 | Head Shot (Minimal Wear),4065,1382,34.0
Five-SeveN | Berries And Cherries (Factory New),6158,1333,22.0
★ Stiletto Knife | Safari Mesh (Battle-Scarred),13943,1230,9.0
★ Sport Gloves | Scarlet Shamagh (Battle-Scarred),16050,1188,7.000000000000001
Desert Eagle | Golden Koi (Factory New),6396,1184,19.0
USP-S | Printstream (Minimal Wear),5603,1133,20.0
★ StatTrak™ Stiletto Knife | Safari Mesh (Minimal Wear),18225,1124,6.0
AK-47 | Bloodsport (Factory New),10488,1120,11.0
★ Navaja Knife | Crimson Web (Field-Tested),10305,1104,11.0
★ Bowie Knife | Freehand (Minimal Wear),15312,1032,7.000000000000001
Desert Eagle | Hypnotic (Factory New),9876,954,10.0
AWP | Redline (Field-Tested),3096,931,30.0
AK-47 | Vulcan (Battle-Scarred),7518,916,12.0
★ Sport Gloves | Bronze Morph (Field-Tested),13550,890,7.000000000000001
★ Specialist Gloves | Buckshot (Field-Tested),5623,860,15.0
StatTrak™ Desert Eagle | Ocean Drive (Field-Tested),4485,814,18.0
★ Ursus Knife | Rust Coat (Battle-Scarred),10434,723,7.000000000000001
Desert Eagle | Printstream (Minimal Wear),4702,712,15.0
StatTrak™ SSG 08 | Turbo Peek (Factory New),4668,688,15.0
AWP | Chromatic Aberration (Factory New),2351,667,28.000000000000004
★ Specialist Gloves | Tiger Strike (Battle-Scarred),16124,657,4.0
★ Gut Knife | Autotronic (Field-Tested),16233,647,4.0
★ Driver Gloves | Overtake (Field-Tested),9187,638,7.000000000000001
Galil AR | Sugar Rush (Minimal Wear),4089,560,14.000000000000002
M4A1-S | Player Two (Factory New),8381,545,7.000000000000001
Sir Bloody Loudmouth Darryl | The Professionals,2574,536,21.0
StatTrak™ AK-47 | Head Shot (Field-Tested),5190,532,10.0
Desert Eagle | Printstream (Battle-Scarred),2425,526,22.0
M4A1-S | Guardian (Minimal Wear),1863,520,28.000000000000004
StatTrak™ SSG 08 | Turbo Peek (Minimal Wear),2275,520,23.0
Glock-18 | Neo-Noir (Factory New),4736,509,11.0
Sir Bloody Darryl Royale | The Professionals,1944,493,25.0
AK-47 | Redline (Minimal Wear),6463,486,8.0
StatTrak™ USP-S | Cyrex (Factory New),1238,477,39.0
AWP | Wildfire (Well-Worn),4801,476,10.0
★ Bowie Knife | Rust Coat (Battle-Scarred),9350,474,5.0
AWP | Duality (Factory New),1965,471,24.0
Souvenir MAC-10 | Case Hardened (Battle-Scarred),840,454,54.0
StatTrak™ P250 | Steel Disruption (Minimal Wear),428,447,104.0
Number K | The Professionals,2696,418,16.0
Souvenir M4A4 | Tornado (Field-Tested),486,416,86.0
M4A4 | The Coalition (Field-Tested),2331,400,17.0
AWP | Man-o'-war (Minimal Wear),2839,395,14.000000000000002
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman,2900,394,14.000000000000002
M4A1-S | Cyrex (Field-Tested),1423,382,27.0
UMP-45 | Blaze (Factory New),1667,377,23.0
AWP | Neo-Noir (Factory New),2873,376,13.0
M4A4 | In Living Color (Factory New),3489,365,10.0
AK-47 | Wasteland Rebel (Minimal Wear),3652,350,10.0
M4A1-S | Player Two (Minimal Wear),3902,339,9.0
AK-47 | Asiimov (Minimal Wear),3814,338,9.0
AWP | Wildfire (Minimal Wear),7100,337,5.0
USP-S | Para Green (Well-Worn),664,328,49.0
StatTrak™ Glock-18 | Weasel (Factory New),995,326,33.0
StatTrak™ XM1014 | Seasons (Minimal Wear),282,319,112.99999999999999
AWP | Elite Build (Factory New),2832,318,11.0
M4A4 | Cyber Security (Field-Tested),1421,317,22.0
AK-47 | Leet Museo (Factory New),4915,307,6.0
USP-S | Blueprint (Factory New),3293,306,9.0
StatTrak™ USP-S | Blueprint (Field-Tested),1083,304,28.000000000000004
USP-S | Monster Mashup (Factory New),3313,300,9.0
StatTrak™ UMP-45 | Momentum (Factory New),1626,292,18.0
Desert Eagle | Heirloom (Field-Tested),501,289,57.99999999999999
Desert Eagle | Mecha Industries (Factory New),752,286,38.0
StatTrak™ P250 | Muertos (Factory New),2453,284,12.0
P2000 | Fire Elemental (Well-Worn),976,283,28.999999999999996
PP-Bizon | Embargo (Minimal Wear),232,281,121.0
Desert Eagle | Kumicho Dragon (Factory New),2961,279,9.0
StatTrak™ Galil AR | Chatterbox (Battle-Scarred),1710,276,16.0
Dual Berettas | Dezastre (Factory New),496,275,55.00000000000001
StatTrak™ MP7 | Impire (Field-Tested),384,274,71.0
M4A1-S | Mecha Industries (Battle-Scarred),1606,265,17.0
USP-S | Printstream (Field-Tested),3473,265,8.0
StatTrak™ USP-S | Guardian (Factory New),943,263,28.000000000000004
R8 Revolver | Llama Cannon (Factory New),954,262,27.0
StatTrak™ M4A1-S | Emphorosaur-S (Factory New),1320,260,20.0
XM1014 | Fallout Warning (Battle-Scarred),633,254,40.0
AUG | Stymphalian (Factory New),614,252,41.0
Five-SeveN | Fairy Tale (Minimal Wear),2134,249,12.0
StatTrak™ FAMAS | Macabre (Factory New),539,247,46.0
Souvenir USP-S | Desert Tactical (Factory New),538,242,45.0
AWP | Neo-Noir (Minimal Wear),2215,240,11.0
StatTrak™ AWP | Atheris (Minimal Wear),1313,239,18.0
StatTrak™ M4A1-S | Basilisk (Minimal Wear),1897,234,12.0
UMP-45 | Wild Child (Factory New),1475,234,16.0
M4A1-S | Golden Coil (Battle-Scarred),2642,226,9.0
AK-47 | Ice Coaled (Factory New),1877,226,12.0
CZ75-Auto | Emerald (Factory New),2114,224,11.0
AWP | Chromatic Aberration (Minimal Wear),1404,223,16.0
M4A1-S | Player Two (Field-Tested),1768,217,12.0
M4A4 | Bullet Rain (Minimal Wear),1344,216,16.0
"StatTrak™ Music Kit | Knock2, dashstar*",1897,213,11.0
AK-47 | Head Shot (Field-Tested),2121,213,10.0
Desert Eagle | Midnight Storm (Minimal Wear),1599,209,13.0
M4A1-S | Bright Water (Minimal Wear),2290,209,9.0
USP-S | Purple DDPAT (Minimal Wear),1057,206,19.0
★ Falchion Knife,18794,206,1.0
StatTrak™ AK-47 | Redline (Field-Tested),3598,202,6.0
USP-S | Road Rash (Field-Tested),2439,201,8.0
StatTrak™ SCAR-20 | Enforcer (Factory New),393,190,48.0
USP-S | Stainless (Factory New),1978,188,10.0
USP-S | The Traitor (Minimal Wear),1653,188,11.0
★ Specialist Gloves | Lt. Commander (Minimal Wear),35013,185,1.0
Lieutenant 'Tree Hugger' Farlow | SWAT,630,184,28.999999999999996
StatTrak™ XM1014 | Entombed (Factory New),1564,184,12.0
USP-S | Blueprint (Minimal Wear),879,184,21.0
StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear),1606,178,11.0
Sticker | The Pro (Foil),444,178,40.0
FAMAS | Mecha Industries (Factory New),751,175,23.0
SSG 08 | Dragonfire (Minimal Wear),1043,175,17.0
StatTrak™ FAMAS | Rapid Eye Movement (Minimal Wear),569,173,30.0
MAC-10 | Fade (Factory New),2927,173,6.0
StatTrak™ AK-47 | Frontside Misty (Well-Worn),2534,173,7.000000000000001
StatTrak™ AWP | Phobos (Factory New),535,169,32.0
Desert Eagle | Printstream (Field-Tested),3347,168,5.0
StatTrak™ M4A4 | Neo-Noir (Minimal Wear),3320,167,5.0
USP-S | The Traitor (Field-Tested),966,162,17.0
USP-S | Monster Mashup (Minimal Wear),2215,161,7.000000000000001
Souvenir USP-S | Road Rash (Field-Tested),1307,160,12.0
SSG 08 | Dragonfire (Well-Worn),1039,160,15.0
Souvenir Galil AR | Amber Fade (Factory New),729,160,22.0
AK-47 | Orbit Mk01 (Minimal Wear),1084,157,14.000000000000002
Paris 2023 Viewer Pass + 3 Souvenir Tokens,1003,157,16.0
SSG 08 | Dragonfire (Factory New),1768,151,9.0
StatTrak™ USP-S | Cyrex (Minimal Wear),603,147,24.0
M4A4 | The Emperor (Field-Tested),1104,146,13.0
StatTrak™ MP9 | Hydra (Field-Tested),773,145,19.0
FAMAS | Commemoration (Field-Tested),965,144,15.0
StatTrak™ AK-47 | Ice Coaled (Minimal Wear),2614,139,5.0
FAMAS | Djinn (Minimal Wear),393,138,35.0
P90 | Asiimov (Minimal Wear),1378,136,10.0
AK-47 | Legion of Anubis (Minimal Wear),1012,134,13.0
MAG-7 | Bulldozer (Minimal Wear),1260,131,10.0
Souvenir USP-S | Orange Anolis (Factory New),1721,128,7.000000000000001
USP-S | The Traitor (Battle-Scarred),797,128,16.0
AK-47 | Black Laminate (Field-Tested),2358,128,5.0
M4A4 | Temukau (Field-Tested),2195,124,6.0
MAC-10 | Amber Fade (Minimal Wear),934,124,13.0
Negev | Power Loader (Factory New),402,124,31.0
P2000 | Amber Fade (Well-Worn),455,124,27.0
P2000 | Obsidian (Factory New),1012,121,12.0
AWP | Sun in Leo (Minimal Wear),1531,121,8.0
StatTrak™ AK-47 | Slate (Minimal Wear),1096,120,11.0
AK-47 | Orbit Mk01 (Factory New),1748,117,7.000000000000001
StatTrak™ USP-S | Stainless (Field-Tested),1083,117,11.0
Sir Bloody Silent Darryl | The Professionals,1298,116,9.0
StatTrak™ M4A4 | Tooth Fairy (Minimal Wear),958,115,12.0
AK-47 | Neon Revolution (Field-Tested),1238,115,9.0
M4A4 | Buzz Kill (Minimal Wear),1146,114,10.0
PP-Bizon | Brass (Factory New),379,114,30.0
AWP | Fever Dream (Factory New),1069,113,11.0
AK-47 | Asiimov (Field-Tested),2270,113,5.0
UMP-45 | Delusion (Factory New),158,113,72.0
StatTrak™ Glock-18 | Water Elemental (Field-Tested),1220,112,9.0
UMP-45 | Scaffold (Factory New),262,110,42.0
Sticker | sinnopsyy (Holo) | Paris 2023,33,110,333.0
M4A4 | Neo-Noir (Well-Worn),405,105,26.0
Souvenir AUG | Sand Storm (Field-Tested),285,105,37.0
USP-S | The Traitor (Well-Worn),821,105,13.0
Desert Eagle | Crimson Web (Well-Worn),531,105,20.0
P90 | Desert Warfare (Field-Tested),239,104,44.0
StatTrak™ Desert Eagle | Blue Ply (Factory New),566,103,18.0
"StatTrak™ Music Kit | Various Artists, Hotline Miami",512,103,20.0
M4A4 | The Battlestar (Field-Tested),459,102,22.0
Glock-18 | Reactor (Factory New),1120,101,9.0
StatTrak™ Dual Berettas | Dezastre (Well-Worn),260,100,38.0
AK-47 | Redline (Field-Tested),1389,100,7.000000000000001
M4A1-S | Nightmare (Field-Tested),802,100,12.0
Special Agent Ava | FBI,988,100,10.0
AK-47 | Ice Coaled (Minimal Wear),1026,99,10.0
FAMAS | Commemoration (Minimal Wear),1253,98,8.0
XM1014 | Black Tie (Factory New),183,97,53.0
StatTrak™ MAG-7 | BI83 Spectrum (Minimal Wear),327,95,28.999999999999996
Desert Eagle | Conspiracy (Factory New),690,94,14.000000000000002
Tec-9 | Decimator (Field-Tested),782,93,12.0
P250 | See Ya Later (Factory New),825,91,11.0
XM1014 | Watchdog (Factory New),278,91,33.0
SG 553 | Ultraviolet (Field-Tested),1515,88,6.0
MAG-7 | Silver (Factory New),1148,88,8.0
Sticker | Merietta (Holo),87,88,101.0
P2000 | Wicked Sick (Minimal Wear),647,88,14.000000000000002
StatTrak™ MP9 | Starlight Protector (Minimal Wear),2087,87,4.0
Bio-Haz Specialist | SWAT,493,87,18.0
Souvenir Glock-18 | Pink DDPAT (Field-Tested),253,86,34.0
Sticker | BukAWP,54,86,159.0
Nova | Antique (Factory New),1080,86,8.0
Chef d'Escadron Rouchard | Gendarmerie Nationale,962,85,9.0
StatTrak™ AK-47 | Slate (Field-Tested),621,84,14.000000000000002
MP7 | Powercore (Factory New),247,84,34.0
Desert Eagle | Night Heist (Factory New),962,83,9.0
Souvenir Tec-9 | Mummy's Rot (Minimal Wear),160,83,52.0
StatTrak™ G3SG1 | Murky (Factory New),172,83,48.0
StatTrak™ Nova | Clear Polymer (Factory New),1016,81,8.0
StatTrak™ CZ75-Auto | Circaetus (Factory New),133,81,61.0
M4A1-S | Basilisk (Battle-Scarred),419,81,19.0
Sticker | No Pats (Holo),191,80,42.0
"Music Kit | Knock2, dashstar*",1003,80,8.0
M4A4 | Griffin (Minimal Wear),257,79,31.0
CS:GO Weapon Case,6599,79,1.0
MAG-7 | Core Breach (Factory New),725,78,11.0
PP-Bizon | Judgement of Anubis (Factory New),839,77,9.0
SG 553 | Desert Blossom (Minimal Wear),1059,76,7.000000000000001
XM1014 | Teclu Burner (Factory New),195,76,39.0
StatTrak™ AUG | Stymphalian (Minimal Wear),496,76,15.0
AK-47 | Ice Coaled (Battle-Scarred),488,75,15.0
AWP | Mortis (Factory New),583,74,13.0
Nova | Clear Polymer (Minimal Wear),295,74,25.0
Galil AR | Eco (Field-Tested),333,73,22.0
AUG | Chameleon (Factory New),482,72,15.0
Desert Eagle | Mecha Industries (Minimal Wear),447,72,16.0
MAC-10 | Heat (Factory New),440,71,16.0
Slingshot | Phoenix,245,71,28.999999999999996
StatTrak™ MP9 | Ruby Poison Dart (Field-Tested),164,70,43.0
M4A4 | Evil Daimyo (Field-Tested),175,70,40.0
M4A4 | Cyber Security (Minimal Wear),2263,68,3.0
StatTrak™ P250 | X-Ray (Field-Tested),124,68,55.00000000000001
Souvenir Glock-18 | High Beam (Factory New),255,68,27.0
M4A1-S | Leaded Glass (Minimal Wear),523,66,13.0
USP-S | Forest Leaves (Factory New),103,66,64.0
G3SG1 | The Executioner (Well-Worn),125,66,53.0
USP-S | Royal Blue (Field-Tested),883,65,7.000000000000001
AK-47 | Blue Laminate (Field-Tested),852,65,8.0
StatTrak™ Dual Berettas | Royal Consorts (Minimal Wear),241,64,27.0
Rezan the Redshirt | Sabre,267,63,24.0
UMP-45 | Momentum (Battle-Scarred),256,63,25.0
P90 | Grim (Factory New),68,63,93.0
StatTrak™ AWP | Worm God (Field-Tested),312,62,20.0
P2000 | Imperial Dragon (Field-Tested),261,62,24.0
Souvenir Glock-18 | Pink DDPAT (Battle-Scarred),271,62,23.0
MP7 | Abyssal Apparition (Factory New),808,61,8.0
StatTrak™ USP-S | Torque (Factory New),385,61,16.0
Sticker | Tamara,35,60,171.0
P250 | See Ya Later (Battle-Scarred),223,60,27.0
Five-SeveN | Nightshade (Field-Tested),108,59,55.00000000000001
M4A4 | In Living Color (Battle-Scarred),406,59,15.0
StatTrak™ AWP | Phobos (Minimal Wear),318,58,18.0
FAMAS | Mecha Industries (Minimal Wear),404,58,14.000000000000002
P250 | Visions (Well-Worn),246,58,24.0
'Medium Rare' Crasswater | Guerrilla Warfare,1122,57,5.0
Seal Team 6 Soldier | NSWC SEAL,481,57,12.0
AK-47 | Legion of Anubis (Field-Tested),702,56,8.0
StatTrak™ SSG 08 | Ghost Crusader (Well-Worn),155,56,36.0
MAC-10 | Malachite (Factory New),324,55,17.0
AWP | POP AWP (Minimal Wear),325,55,17.0
Dual Berettas | Melondrama (Minimal Wear),298,54,18.0
M4A4 | Buzz Kill (Field-Tested),732,53,7.000000000000001
CZ75-Auto | Hexane (Factory New),411,52,13.0
StatTrak™ MP9 | Airlock (Minimal Wear),622,52,8.0
StatTrak™ UMP-45 | Moonrise (Factory New),244,51,21.0
UMP-45 | Momentum (Field-Tested),262,51,19.0
Tec-9 | Brass (Field-Tested),392,50,13.0
StatTrak™ Desert Eagle | Trigger Discipline (Factory New),875,50,6.0
Glock-18 | Royal Legion (Minimal Wear),236,49,21.0
MP5-SD | Agent (Factory New),264,49,19.0
StatTrak™ P90 | Neoqueen (Field-Tested),122,49,40.0
Tec-9 | Fuel Injector (Field-Tested),202,49,24.0
StatTrak™ PP-Bizon | Lumen (Factory New),278,49,18.0
Souvenir UMP-45 | Mechanism (Well-Worn),21,48,229.0
P250 | Muertos (Minimal Wear),466,48,10.0
StatTrak™ Sawed-Off | Kiss♥Love (Field-Tested),492,48,10.0
Sticker | NAF (Gold) | Paris 2023,222,48,22.0
Tec-9 | Avalanche (Factory New),285,47,16.0
Galil AR | Sandstorm (Minimal Wear),230,47,20.0
StatTrak™ G3SG1 | Digital Mesh (Minimal Wear),94,47,50.0
MP9 | Starlight Protector (Field-Tested),290,46,16.0
Dual Berettas | Anodized Navy (Factory New),165,46,28.000000000000004
StatTrak™ MP9 | Dart (Factory New),175,46,26.0
Sticker | jkaem (Gold) | Paris 2023,126,45,36.0
M4A1-S | Nitro (Minimal Wear),257,45,18.0
StatTrak™ AK-47 | Elite Build (Minimal Wear),541,44,8.0
StatTrak™ PP-Bizon | Lumen (Well-Worn),73,44,60.0
M4A1-S | Boreal Forest (Factory New),275,44,16.0
StatTrak™ AK-47 | Elite Build (Field-Tested),332,44,13.0
Nova | Clear Polymer (Well-Worn),171,44,26.0
XM1014 | Ziggy (Factory New),120,44,37.0
AK-47 | Baroque Purple (Minimal Wear),453,42,9.0
Glock-18 | Water Elemental (Battle-Scarred),339,42,12.0
StatTrak™ UMP-45 | Scaffold (Well-Worn),217,42,19.0
StatTrak™ MAG-7 | BI83 Spectrum (Field-Tested),119,42,35.0
StatTrak™ CZ75-Auto | Polymer (Factory New),93,42,45.0
"Music Kit | Laura Shigihara: Work Hard, Play Hard",255,42,16.0
AK-47 | Steel Delta (Factory New),354,41,12.0
Glock-18 | Vogue (Factory New),779,40,5.0
P250 | Visions (Minimal Wear),495,40,8.0
MP5-SD | Acid Wash (Factory New),127,40,31.0
Galil AR | Chromatic Aberration (Minimal Wear),282,39,14.000000000000002
Sawed-Off | Serenity (Minimal Wear),160,39,24.0
PP-Bizon | Fuel Rod (Factory New),243,39,16.0
3rd Commando Company | KSK,565,39,7.000000000000001
AK-47 | Phantom Disruptor (Minimal Wear),534,39,7.000000000000001
USP-S | Blueprint (Field-Tested),424,38,9.0
UMP-45 | Delusion (Field-Tested),37,38,103.0
StatTrak™ AUG | Death by Puppy (Factory New),2310,37,2.0
StatTrak™ M249 | Aztec (Field-Tested),95,37,39.0
Anubis Collection Package,125,37,30.0
StatTrak™ Desert Eagle | Oxide Blaze (Factory New),161,37,23.0
MP9 | Airlock (Battle-Scarred),122,36,30.0
AK-47 | Nightwish (Field-Tested),1218,36,3.0
Sticker | Martha (Holo),44,36,82.0
AK-47 | Cartel (Minimal Wear),909,36,4.0
M4A1-S | Leaded Glass (Field-Tested),386,36,9.0
Desert Eagle | Trigger Discipline (Factory New),203,36,18.0
"StatTrak™ Music Kit | Matt Levine, Drifter",176,36,20.0
SSG 08 | Carbon Fiber (Factory New),190,36,19.0
Glock-18 | Nuclear Garden (Field-Tested),308,35,11.0
StatTrak™ R8 Revolver | Junk Yard (Factory New),148,35,24.0
M4A4 | Spider Lily (Field-Tested),232,34,15.0
AUG | Aristocrat (Minimal Wear),79,34,43.0
StatTrak™ Negev | Drop Me (Factory New),82,34,41.0
PP-Bizon | Fuel Rod (Field-Tested),57,33,57.99999999999999
StatTrak™ USP-S | Ticket to Hell (Battle-Scarred),121,33,27.0
AWP | Mortis (Field-Tested),148,32,22.0
StatTrak™ MP9 | Sand Scale (Factory New),99,32,32.0
M4A1-S | Player Two (Battle-Scarred),1215,32,3.0
M4A1-S | Blood Tiger (Minimal Wear),393,31,8.0
StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear),321,31,10.0
AUG | Random Access (Factory New),727,31,4.0
Glock-18 | Water Elemental (Field-Tested),366,31,8.0
Glock-18 | Red Tire (Factory New),223,31,14.000000000000002
PP-Bizon | Breaker Box (Factory New),191,30,16.0
MP5-SD | Phosphor (Field-Tested),259,30,12.0
FAMAS | Roll Cage (Field-Tested),237,30,13.0
Souvenir Nova | Walnut (Battle-Scarred),78,30,38.0
USP-S | Cyrex (Factory New),286,29,10.0
FAMAS | Roll Cage (Well-Worn),209,29,14.000000000000002
AWP | Black Nile (Field-Tested),152,29,19.0
AWP | PAW (Minimal Wear),215,28,13.0
Rio 2022 Contenders Autograph Capsule,26,28,108.0
Sticker | Lucaozy (Gold) | Paris 2023,259,28,11.0
Dual Berettas | Melondrama (Field-Tested),134,28,21.0
StatTrak™ MP9 | Sand Scale (Field-Tested),31,28,90.0
P2000 | Wicked Sick (Well-Worn),202,28,14.000000000000002
USP-S | Guardian (Field-Tested),162,28,17.0
AWP | Worm God (Factory New),214,27,13.0
StatTrak™ AUG | Stymphalian (Factory New),1355,27,2.0
P90 | Elite Build (Factory New),117,27,23.0
StatTrak™ SG 553 | Cyberforce (Factory New),208,27,13.0
M4A1-S | Night Terror (Minimal Wear),92,27,28.999999999999996
MP9 | Airlock (Well-Worn),131,27,21.0
Galil AR | Sandstorm (Field-Tested),72,27,38.0
Name Tag,128,26,20.0
P250 | See Ya Later (Field-Tested),244,26,11.0
M4A1-S | Flashback (Battle-Scarred),53,26,49.0
FAMAS | Djinn (Field-Tested),190,26,14.000000000000002
FAMAS | Valence (Field-Tested),158,26,16.0
"Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)",299,25,8.0
M4A1-S | Flashback (Field-Tested),53,25,47.0
'Two Times' McCoy | TACP Cavalry,278,25,9.0
MAG-7 | Praetorian (Factory New),335,24,7.000000000000001
P250 | Nevermore (Factory New),107,24,22.0
UMP-45 | Full Stop (Battle-Scarred),77,24,31.0
"Music Kit | Midnight Riders, All I Want for Christmas",327,23,7.000000000000001
XM1014 | Teclu Burner (Minimal Wear),108,23,21.0
Tec-9 | Avalanche (Minimal Wear),134,23,17.0
MP9 | Food Chain (Field-Tested),127,23,18.0
AUG | Ricochet (Factory New),70,23,33.0
R8 Revolver | Phoenix Marker (Field-Tested),121,22,18.0
MAC-10 | Heat (Well-Worn),134,22,16.0
AWP | Black Nile (Battle-Scarred),207,22,11.0
PP-Bizon | Bamboo Print (Minimal Wear),207,22,11.0
Souvenir SSG 08 | Carbon Fiber (Minimal Wear),120,22,18.0
StatTrak™ Tec-9 | Brother (Field-Tested),56,21,38.0
FAMAS | Roll Cage (Battle-Scarred),219,21,10.0
MAC-10 | Heat (Field-Tested),157,21,13.0
Tec-9 | Safety Net (Well-Worn),98,21,21.0
StatTrak™ AK-47 | Elite Build (Well-Worn),271,20,7.000000000000001
Glock-18 | Moonrise (Minimal Wear),62,20,32.0
AWP | PAW (Factory New),354,20,6.0
StatTrak™ M249 | Downtown (Factory New),393,20,5.0
"Music Kit | Various Artists, Hotline Miami",267,20,7.000000000000001
Tec-9 | Bamboo Forest (Minimal Wear),262,20,8.0
Tec-9 | Remote Control (Field-Tested),215,20,9.0
FAMAS | Neural Net (Minimal Wear),93,20,22.0
Glock-18 | Weasel (Factory New),168,19,11.0
Sticker | Peek Me (Foil),45,19,42.0
StatTrak™ M4A1-S | Night Terror (Field-Tested),283,19,7.000000000000001
StatTrak™ R8 Revolver | Crazy 8 (Field-Tested),101,19,19.0
Sticker | sjuush (Holo) | Paris 2023,54,19,35.0
USP-S | Flashback (Battle-Scarred),61,19,31.0
M4A1-S | Emphorosaur-S (Field-Tested),77,19,25.0
"Music Kit | The Verkkars & n0thing, Flashbang Dance",295,19,6.0
Dual Berettas | Flora Carnivora (Factory New),203,19,9.0
AUG | Torque (Factory New),847,19,2.0
Negev | Power Loader (Field-Tested),69,18,26.0
StatTrak™ CZ75-Auto | Twist (Well-Worn),138,18,13.0
StatTrak™ P250 | X-Ray (Minimal Wear),141,18,13.0
StatTrak™ P2000 | Acid Etched (Minimal Wear),244,18,7.000000000000001
Dragomir | Sabre,201,18,9.0
P90 | Virus (Minimal Wear),160,18,11.0
StatTrak™ Sawed-Off | Black Sand (Factory New),78,18,23.0
MAC-10 | Last Dive (Factory New),236,18,8.0
StatTrak™ Glock-18 | Wraiths (Minimal Wear),91,18,20.0
StatTrak™ MAG-7 | Sonar (Factory New),95,18,19.0
USP-S | Cortex (Well-Worn),148,18,12.0
P250 | Visions (Battle-Scarred),213,17,8.0
Glock-18 | Umbral Rabbit (Factory New),188,17,9.0
Sticker | ENCE (Holo) | Berlin 2019,33,17,52.0
StatTrak™ Dual Berettas | Flora Carnivora (Minimal Wear),217,17,8.0
StatTrak™ USP-S | Flashback (Field-Tested),141,17,12.0
M4A1-S | Night Terror (Factory New),168,16,10.0
StatTrak™ Nova | Wild Six (Field-Tested),43,16,37.0
Sticker | allu | Krakow 2017,130,16,12.0
CZ75-Auto | Eco (Well-Worn),45,16,36.0
Sticker | Sherry,25,16,64.0
AUG | Arctic Wolf (Minimal Wear),282,16,6.0
CZ75-Auto | Red Astor (Factory New),122,16,13.0
